Time,Type,Price,Quantity
2023-05-24 11:45:00,close_long,1818.76,0.04219
2023-05-24 12:00:00,open_long,1820.84,0.04216
2023-05-24 12:30:00,close_long,1820.09,0.04216
2023-05-24 14:30:00,open_long,1821.2,0.04211
2023-05-24 16:30:00,close_long,1815.46,0.04211
2023-05-24 18:15:00,open_long,1815.74,0.0421
2023-05-24 19:30:00,close_long,1811.04,0.0421
2023-05-24 21:15:00,open_long,1816.4,0.04196
2023-05-24 23:30:00,close_long,1792.9,0.04196
2023-05-25 02:30:00,open_long,1787.25,0.04215
2023-05-25 03:30:00,close_long,1792.55,0.04215
2023-05-25 05:30:00,open_long,1804.04,0.04183
2023-05-25 07:30:00,close_long,1798.72,0.04183
2023-05-25 08:15:00,open_long,1801.81,0.04175
2023-05-25 09:45:00,close_long,1775.55,0.04175
2023-05-25 12:30:00,open_long,1777.89,0.04176
2023-05-25 13:15:00,close_long,1778.15,0.04176
2023-05-25 14:30:00,open_long,1783.93,0.04159
2023-05-25 16:15:00,close_long,1781.43,0.04159
2023-05-25 18:00:00,open_long,1786.28,0.04146
2023-05-25 20:00:00,close_long,1788.64,0.04146
2023-05-25 21:15:00,open_long,1801.7,0.04112
2023-05-25 22:45:00,close_long,1799.8,0.04112
2023-05-25 23:15:00,open_long,1797.99,0.04114
2023-05-26 00:15:00,close_long,1794.14,0.04114
2023-05-26 02:30:00,open_long,1805.75,0.04087
2023-05-26 06:30:00,close_long,1806.55,0.04087
2023-05-26 07:45:00,open_long,1805.21,0.04087
2023-05-26 08:45:00,close_long,1804.43,0.04087
2023-05-26 09:30:00,open_long,1800.28,0.04093
2023-05-26 09:45:00,close_long,1798.8,0.04093
2023-05-26 13:00:00,open_long,1807.55,0.04071
2023-05-26 14:30:00,close_long,1806.22,0.04071
2023-05-26 16:45:00,open_long,1814.36,0.04051
2023-05-26 18:45:00,close_long,1812.97,0.04051
2023-05-26 20:30:00,open_long,1814.5,0.04045
2023-05-26 21:00:00,close_long,1813.78,0.04045
2023-05-26 23:45:00,open_long,1832.35,0.04002
2023-05-27 02:00:00,close_long,1823.3,0.04002
2023-05-27 04:15:00,open_long,1835.48,0.03975
2023-05-27 07:00:00,close_long,1825.34,0.03975
2023-05-27 08:30:00,open_long,1825.33,0.03976
2023-05-27 09:00:00,close_long,1825.73,0.03976
2023-05-27 10:30:00,open_long,1826.84,0.03971
2023-05-27 11:30:00,close_long,1831.3,0.03971
2023-05-27 12:15:00,open_long,1832.43,0.03964
2023-05-27 12:30:00,close_long,1831.57,0.03964
2023-05-27 12:45:00,open_long,1834.14,0.03956
2023-05-27 14:30:00,close_long,1829.63,0.03956
2023-05-27 15:45:00,open_long,1829.86,0.03954
2023-05-27 17:15:00,close_long,1828.17,0.03954
2023-05-27 18:00:00,open_long,1825.99,0.03957
2023-05-27 18:30:00,close_long,1825.7,0.03957
2023-05-27 18:45:00,open_long,1826.45,0.03953
2023-05-27 19:00:00,close_long,1825.67,0.03953
2023-05-27 21:30:00,open_long,1830.44,0.0394
2023-05-27 23:00:00,close_long,1822.19,0.0394
2023-05-28 00:15:00,open_long,1821.0,0.03943
2023-05-28 01:15:00,close_long,1820.57,0.03943
2023-05-28 02:45:00,open_long,1826.18,0.03928
2023-05-28 04:00:00,close_long,1825.47,0.03928
2023-05-28 05:15:00,open_long,1827.2,0.03922
2023-05-28 06:15:00,close_long,1827.42,0.03922
2023-05-28 07:15:00,open_long,1828.97,0.03916
2023-05-28 08:45:00,close_long,1838.36,0.03916
2023-05-28 10:15:00,open_long,1849.0,0.03888
2023-05-28 12:00:00,close_long,1850.0,0.03888
2023-05-28 12:45:00,open_long,1850.23,0.03884
2023-05-28 14:30:00,close_long,1847.85,0.03884
2023-05-28 16:30:00,open_long,1845.29,0.03888
2023-05-28 17:15:00,close_long,1845.54,0.03888
2023-05-28 17:30:00,open_long,1845.68,0.03885
2023-05-28 17:45:00,close_long,1843.08,0.03885
2023-05-28 18:00:00,open_long,1844.0,0.03881
2023-05-28 18:45:00,close_long,1843.49,0.03881
2023-05-28 19:45:00,open_long,1843.08,0.03879
2023-05-28 21:00:00,close_long,1839.92,0.03879
2023-05-28 22:45:00,open_long,1840.08,0.03877
2023-05-28 23:30:00,close_long,1840.5,0.03877
2023-05-29 01:00:00,open_long,1843.41,0.03868
2023-05-29 03:15:00,close_long,1851.85,0.03868
2023-05-29 03:30:00,open_long,1852.48,0.03862
2023-05-29 04:45:00,close_long,1852.61,0.03862
2023-05-29 06:15:00,open_long,1906.39,0.0375
2023-05-29 07:45:00,close_long,1909.55,0.0375
2023-05-29 08:15:00,open_long,1914.07,0.03738
2023-05-29 11:45:00,close_long,1907.33,0.03738
2023-05-29 15:00:00,open_long,1904.02,0.03744
2023-05-29 16:30:00,close_long,1895.62,0.03744
2023-05-29 18:45:00,open_long,1901.22,0.03733
2023-05-29 19:45:00,close_long,1901.73,0.03733
2023-05-29 20:15:00,open_long,1900.52,0.03732
2023-05-29 22:00:00,close_long,1899.74,0.03732
2023-05-29 23:45:00,open_long,1891.83,0.03746
2023-05-30 01:15:00,close_long,1884.99,0.03746
2023-05-30 03:30:00,open_long,1892.57,0.0373
2023-05-30 05:00:00,close_long,1892.02,0.0373
2023-05-30 05:15:00,open_long,1891.99,0.03728
2023-05-30 06:30:00,close_long,1886.87,0.03728
2023-05-30 07:45:00,open_long,1893.56,0.03714
2023-05-30 09:00:00,close_long,1892.99,0.03714
2023-05-30 10:45:00,open_long,1896.38,0.03705
2023-05-30 13:45:00,close_long,1895.56,0.03705
